no,section,size,field,value,deviation,verdict,note,confidence,needs_review
1,construction,,Notches on patterns,one missing at side seam,,not stated,,1.00,
2,marker,,Shell mini marker YY,52.92 cm,,not stated,,1.00,
3,marker,,Jersey mini marker YY,15.7 cm,,not stated,,1.00,
4,shrinkage,,Shell average shrinkage length,1%,,okay,,1.00,
5,shrinkage,,Shell average shrinkage width,0%,,okay,,1.00,
6,shrinkage,,Jersey shrinkage length,1.5%,,not stated,,1.00,
7,shrinkage,,Jersey shrinkage width,0%,,not stated,,1.00,
8,measurement,XS,Waistband height,1 1/4,,okay,,1.00,
9,measurement,XS,Waistband elastic height,1 3/8,,okay,,1.00,
10,measurement,XS,Waist relaxed at top edge,26 3/4,,okay,,1.00,
11,measurement,XS,Waist extended at top edge minimum,39,,okay,,1.00,
12,measurement,XS,Low hip placement from top waist,5 1/4,,okay,,1.00,
13,measurement,XS,3 point low hip,40 1/2,+1/4,deviation,,1.00,
14,measurement,XS,Front rise straight to top waist,9 3/4,-1/4,deviation,,1.00,
15,measurement,XS,Back rise straight to top waist,15,-1/4,deviation,,1.00,
16,measurement,XS,Short leg opening,27,,okay,,1.00,
17,measurement,XS,Inseam short,2 1/2,,okay,,1.00,
18,measurement,XS,Outseam from top waist,10 5/8,+1/8,deviation,"Initially called okay, then corrected to plus 1/8.",0.95,
19,measurement,XS,Fly J-stitch length below waist seam,4 1/4,,okay,,1.00,
20,measurement,XS,Fly J-stitch width,1 1/8,+1/16,deviation,"Initially said minus, then corrected to plus 1/16.",0.95,
21,measurement,XS,Hem height,1/2,,okay,,1.00,
22,measurement,XS,Front leg depth 3 inch from center front top edge relaxed,10 7/8,,okay,,1.00,
23,measurement,XS,Back leg depth 3 inch from center back top edge relaxed,12 1/8,-1/8,deviation,,1.00,
24,measurement,XS,Saddle width 2 inch up from crotch reference point,8,,okay,,1.00,
25,measurement,XS,Button space on fly front,1 3/4,,okay,,1.00,
26,measurement,XS,Button position from waist stitch,1 1/4,-1/8,deviation,,1.00,
27,measurement,XS,On-seam pocket hem height,1/4,,okay,,1.00,
