no,section,size,field,value,deviation,verdict,note,confidence,needs_review
1,bom,,Main label,actual,,,Red thread seam grinning observed later,1.00,
2,bom,,Wash care,missing,,,,1.00,
3,bom,,Buttons,actual,,,,1.00,
4,bom,,Thread,actual,,,,1.00,
5,bom,,Lining,actual,,,Single jersey instead of lining,1.00,
6,bom,,Print,actual,,,,1.00,
7,bom,,After treatment,actual,,,,1.00,
8,construction,,Grain line on all patterns,OK,,,,1.00,
9,construction,,Pattern notches,Not OK,,,One notch missing at side seam,1.00,
10,construction,,Gradedness proportion,OK,,,,1.00,
11,marker,,Mini marker consumption,52.92 cm,,,Based on pieces,1.00,
12,marker,,YY on jersey,15.7 cm,,,,1.00,
13,shrinkage,,Shell length shrinkage,1%,,,Average shrinkage; good,1.00,
14,shrinkage,,Shell width shrinkage,0%,,,Average shrinkage; good,1.00,
15,shrinkage,,Jersey length shrinkage,1 1/2%,,,,1.00,
16,shrinkage,,Jersey width shrinkage,0%,,,,1.00,
17,measurement,XS,Waistband height,1 1/4,,,Required in extra small,1.00,
18,measurement,XS,Waistband elastic height,1 3/8,,,,1.00,
19,measurement,XS,Waist relaxed at top edge,26 3/4,,,,1.00,
20,measurement,XS,Waist extended at top edge minimum,39,,,,1.00,
21,measurement,XS,Low hip placement from top waist,5 1/4,,,,1.00,
22,measurement,XS,3 point low hip,40 1/2,+1/4,,,1.00,
23,measurement,XS,Front rise straight to top waist,9 3/4,-1/4,,,1.00,
24,measurement,XS,Back rise straight to top waist,15,-1/4,,,1.00,
25,measurement,XS,Short leg opening,27,,,,1.00,
26,measurement,XS,Inseam short,2 1/2,,,,1.00,
27,measurement,XS,Outseam from top waist,10 5/8,+1/8,,Deviation corrected from okay to plus 1/8,0.95,
28,measurement,XS,Fly gusset length below waist seam,4 1/4,,,,1.00,
29,measurement,XS,Fly gusset width,1 1/8,+1/16,,Speaker corrected minus to plus,0.95,
30,measurement,XS,Hem height,1/2,,,,1.00,
31,measurement,XS,Front leg depth 3 inch from center front top edge relaxed,10 7/8,,,,1.00,
32,measurement,XS,Back leg depth 3 inch from center back top edge relaxed,12 1/8,-1/8,,,1.00,
33,measurement,XS,Saddle width 2 inch up from crotch reference point,8,,,,1.00,
34,measurement,XS,Button space on fly front,1 3/4,,,,1.00,
35,measurement,XS,Button position from waist stitch,1 1/4,-1/8,,,1.00,
36,measurement,XS,On-seam pocket hem height,1/4,,,,1.00,
37,measurement,XS,Pocket position from below waist stitch,1,,,,1.00,
38,measurement,XS,Pocket opening length,5 1/2,,,,1.00,
39,measurement,XS,Pocket bag length,8 5/8,-1/4,,,1.00,
40,measurement,XS,Pocket bag width,6 1/8,,,,1.00,
41,measurement,S,Waistband height,1 1/4,,,,1.00,
42,measurement,S,Waistband elastic height,1 3/8,,,,1.00,
43,measurement,S,Waist relaxed at top edge,28 3/4,,,,1.00,
44,measurement,S,Waist extended at top edge minimum,41,,,,1.00,
45,measurement,S,Low hip placement from top waist,5 5/8,,,,1.00,
46,measurement,S,3 point low hip,42 1/2,,,,1.00,
47,measurement,S,Front rise straight to top waist,10 1/4,-1/4,,Deviation stated after a self-correction,0.90,
48,measurement,S,Back rise straight to top waist,15 1/2,-1/4,,,1.00,
49,measurement,S,Short leg opening,28 1/2,,,,1.00,
50,measurement,S,Inseam short,2 1/2,-1/8,,,1.00,
51,measurement,S,Outseam from top waist,11,+1/4,,,1.00,
52,measurement,S,Fly stitch length below waist seam,4 3/4,,,,1.00,
53,measurement,S,Fly stitch width,1 1/8,,,,1.00,
54,measurement,S,Hem height,1/2,,,,1.00,
55,measurement,S,Front leg depth 3 inch from center front top edge relaxed,11 1/4,-1/4,,,1.00,
56,measurement,S,Back leg depth 3 inch from center back top edge relaxed,12 1/2,+1/8,,,1.00,
